# rta
#: time in fs  dipole-momenta: x   y   z
   8.51840  -0.11626569E-06   0.14659058E-06   0.52794451E+00
   8.56680  -0.11771920E-06   0.15410119E-06   0.53482433E+00
   8.61520  -0.11741180E-06   0.16151338E-06   0.52300973E+00
   8.66360  -0.11523718E-06   0.16862677E-06   0.49246066E+00
   8.71200  -0.14275500E-06   0.19743353E-06   0.44332065E+00
   8.76040  -0.13442885E-06   0.20636650E-06   0.37792507E+00
   8.80880  -0.12398491E-06   0.21388299E-06   0.29767294E+00
   8.85720  -0.11156226E-06   0.21958090E-06   0.20507844E+00
   8.90560  -0.97277643E-07   0.22306587E-06   0.10315132E+00
   8.95400  -0.81275688E-07   0.22401443E-06  -0.47029280E-02
   9.00240  -0.63928661E-07   0.22234036E-06  -0.11479714E+00
   9.05080  -0.45580174E-07   0.21797811E-06  -0.22328767E+00
   9.09920  -0.26470760E-07   0.21080825E-06  -0.32630563E+00
   9.14760  -0.69443009E-08   0.20083236E-06  -0.42008944E+00
   9.19600  -0.16290830E-07   0.15433810E-06  -0.50089188E+00
   9.24440   0.34351806E-08   0.14284105E-06  -0.56587029E+00
   9.29280   0.22505689E-07   0.12956699E-06  -0.61226850E+00
   9.34120   0.40447518E-07   0.11452078E-06  -0.63801164E+00
   9.38960   0.56724896E-07   0.97585871E-07  -0.64171210E+00
   9.43800   0.70823356E-07   0.78549440E-07  -0.62274129E+00
   9.48640   0.82287743E-07   0.57236125E-07  -0.58127561E+00
   9.53480   0.90570868E-07   0.33596028E-07  -0.51831211E+00
   9.58320   0.95343641E-07   0.76238305E-08  -0.43565206E+00
   9.63160   0.96396958E-07  -0.20523656E-07  -0.33585200E+00
   9.68000   0.17155136E-06  -0.86999802E-07  -0.22158652E+00
   9.72840   0.16240807E-06  -0.12319990E-06  -0.97961277E-01
   9.77680   0.14900292E-06  -0.15940034E-06   0.31547937E-01
   9.82520   0.13186749E-06  -0.19442637E-06   0.16243258E+00
   9.87360   0.11183959E-06  -0.22700293E-06   0.29005933E+00
   9.92200   0.89844352E-07  -0.25580054E-06   0.40982904E+00
   9.97040   0.67038656E-07  -0.27950732E-06   0.51733360E+00
  10.01880   0.44545918E-07  -0.29685032E-06   0.60850862E+00
  10.06720   0.23369073E-07  -0.30671176E-06   0.67978132E+00
  10.11560   0.45519212E-08  -0.30829691E-06   0.72820459E+00
  10.16400   0.32814631E-07  -0.28092878E-06   0.75101058E+00
  10.21240   0.28626605E-07  -0.26138382E-06   0.74792246E+00
  10.26080   0.28565504E-07  -0.23322071E-06   0.71799454E+00
  10.30920   0.33115725E-07  -0.19679766E-06   0.66176070E+00
  10.35760   0.42675904E-07  -0.15274364E-06   0.58073292E+00
  10.40600   0.57401947E-07  -0.10196412E-06   0.47736993E+00
  10.45440   0.76956320E-07  -0.45809862E-07   0.35500442E+00
  10.50280   0.10103349E-06   0.14012940E-07   0.21772857E+00
  10.55120   0.12917768E-06   0.75576665E-07   0.70245750E-01
  10.59960   0.16046695E-06   0.13672065E-06  -0.82301317E-01
  10.64800   0.20218362E-06   0.24883073E-06  -0.23502114E+00
  10.69640   0.23559832E-06   0.30639625E-06  -0.38109661E+00
  10.74480   0.26689788E-06   0.35480447E-06  -0.51602410E+00
  10.79320   0.29374701E-06   0.39085444E-06  -0.63476054E+00
  10.84160   0.31356327E-06   0.41156551E-06  -0.73274288E+00
  10.89000   0.32403971E-06   0.41452160E-06  -0.80605340E+00
  10.93840   0.32330710E-06   0.39801226E-06  -0.85156721E+00
  10.98680   0.30992596E-06   0.36084231E-06  -0.86708508E+00
  11.03520   0.28290460E-06   0.30253845E-06  -0.85144662E+00
  11.08360   0.24153780E-06   0.22354489E-06  -0.80461189E+00
  11.13200   0.33168289E-06  -0.13325777E-07  -0.72657465E+00
  11.18040   0.23984236E-06  -0.14169321E-06  -0.62204731E+00
  11.22880   0.13440209E-06  -0.28304648E-06  -0.49310347E+00
  11.27720   0.18306666E-07  -0.43384637E-06  -0.34410314E+00
  11.32560  -0.10528819E-06  -0.58980724E-06  -0.18022547E+00
  11.37400  -0.23295790E-06  -0.74611669E-06  -0.72685213E-02
  11.42240  -0.36078369E-06  -0.89723725E-06   0.16857362E+00
  11.47080  -0.48460214E-06  -0.10373433E-05   0.34094260E+00
  11.51920  -0.60040712E-06  -0.11609523E-05   0.50353908E+00
  11.56760  -0.70430953E-06  -0.12628233E-05   0.65033135E+00
  11.61600  -0.18013216E-06  -0.18527976E-05   0.77610226E+00
  11.66440  -0.27569239E-06  -0.19913763E-05   0.87494611E+00
  11.71280  -0.38287721E-06  -0.20964658E-05   0.94344449E+00
  11.76120  -0.49541920E-06  -0.21585308E-05   0.97852105E+00
  11.80960  -0.60538150E-06  -0.21685725E-05   0.97824194E+00
  11.85800  -0.70418901E-06  -0.21186810E-05   0.94193794E+00
  11.90640  -0.78311060E-06  -0.20035169E-05   0.87028143E+00
  11.95480  -0.83409136E-06  -0.18204737E-05   0.76531290E+00
  12.00320  -0.85113450E-06  -0.15705535E-05   0.63040338E+00
  12.05160  -0.83066879E-06  -0.12585767E-05   0.47014854E+00
  12.10000  -0.15839080E-04   0.13573333E-04   0.28969479E+00
  12.14840  -0.15789811E-04   0.13883502E-04   0.96876390E-01
  12.19680  -0.15408328E-04   0.14089020E-04  -0.10210051E+00
  12.24520  -0.14743678E-04   0.14127012E-04  -0.29991727E+00
  12.29360  -0.13841348E-04   0.13989175E-04  -0.48925687E+00
  12.34200  -0.12742900E-04   0.13683283E-04  -0.66305567E+00
  12.39040  -0.11474855E-04   0.13220233E-04  -0.81473090E+00
  12.43880  -0.10074015E-04   0.12597026E-04  -0.93839733E+00
  12.48720  -0.85801605E-05   0.11819260E-04  -0.10290649E+01
  12.53560  -0.70204823E-05   0.10900303E-04  -0.10828220E+01
  12.58400  -0.98728978E-05   0.71531964E-05  -0.10978118E+01
  12.63240  -0.98130935E-05   0.56103729E-05  -0.10711508E+01
  12.68080  -0.95980418E-05   0.40763364E-05  -0.10039654E+01
  12.72920  -0.90919869E-05   0.24781917E-05  -0.89811438E+00
  12.77760  -0.81739988E-05   0.74671116E-06  -0.75701967E+00
  12.82600  -0.67418495E-05  -0.11901970E-05  -0.58556802E+00
  12.87440  -0.47241085E-05  -0.34026507E-05  -0.38993332E+00
  12.92280  -0.20332895E-05  -0.59590805E-05  -0.17731025E+00
  12.97120   0.13553914E-05  -0.88984867E-05   0.44402142E-01
  13.01960   0.53562043E-05  -0.12196670E-04   0.26693419E+00
  13.06800   0.21383380E-04  -0.38697456E-04   0.48195010E+00
  13.11640   0.26348112E-04  -0.41283732E-04   0.68098867E+00
  13.16480   0.31092965E-04  -0.43450803E-04   0.85687165E+00
  13.21320   0.35216073E-04  -0.45080635E-04   0.10027742E+01
  13.26160   0.38355099E-04  -0.45936620E-04   0.11128325E+01
  13.31000   0.40194968E-04  -0.45679989E-04   0.11823570E+01
  13.35840   0.40516538E-04  -0.43951545E-04   0.12080427E+01
  13.40680   0.39221861E-04  -0.40464889E-04   0.11881565E+01
  13.45520   0.36373983E-04  -0.35006785E-04   0.11226823E+01
  13.50360   0.32142985E-04  -0.27429450E-04   0.10134057E+01
  13.55200   0.65207978E-04   0.56805052E-04   0.86164724E+00
  13.60040   0.61793340E-04   0.68210441E-04   0.67761222E+00
  13.64880   0.57361617E-04   0.79511017E-04   0.46553790E+00
  13.69720   0.52006578E-04   0.90328947E-04   0.23345518E+00
  13.74560   0.45888078E-04   0.10015795E-03  -0.97901422E-02
  13.79400   0.39242658E-04   0.10855351E-03  -0.25493224E+00
  13.84240   0.32382788E-04   0.11514360E-03  -0.49265562E+00
  13.89080   0.25605482E-04   0.11963064E-03  -0.71392615E+00
  13.93920   0.19161605E-04   0.12167230E-03  -0.91028510E+00
  13.98760   0.13303067E-04   0.12094612E-03  -0.10740991E+01
  14.03600  -0.71914121E-04   0.20026205E-04  -0.11987063E+01
  14.08440  -0.76880379E-04   0.20542684E-04  -0.12786540E+01
  14.13280  -0.78686571E-04   0.20213478E-04  -0.13104435E+01
  14.18120  -0.77538094E-04   0.19060900E-04  -0.12920780E+01
  14.22960  -0.73673725E-04   0.17200613E-04  -0.12234720E+01
  14.27800  -0.67391875E-04   0.14832725E-04  -0.11065654E+01
  14.32640  -0.59101705E-04   0.12267757E-04  -0.94534168E+00
  14.37480  -0.49362197E-04   0.98611233E-05  -0.74571201E+00
  14.42320  -0.38824723E-04   0.79436119E-05  -0.51527224E+00
  14.47160  -0.28158859E-04   0.67842582E-05  -0.26294782E+00
  14.52000   0.14372034E-04  -0.93074674E-04   0.18166280E-02
  14.56840   0.19448529E-04  -0.93930470E-04   0.26746461E+00
  14.61680   0.21466651E-04  -0.92594874E-04   0.52460013E+00
  14.66520   0.20401698E-04  -0.88791965E-04   0.76333734E+00
  14.71360   0.16517902E-04  -0.82617945E-04   0.97447115E+00
  14.76200   0.10281706E-04  -0.74252747E-04   0.11497440E+01
  14.81040   0.21732289E-05  -0.63839819E-04   0.12820769E+01
  14.85880  -0.73593352E-05  -0.51445314E-04   0.13658176E+01
  14.90720  -0.17947066E-04  -0.37312417E-04   0.13970108E+01
  14.95560  -0.29190406E-04  -0.21955278E-04   0.13736472E+01
  15.00400  -0.10466679E-03   0.14660355E-03   0.12914555E+01
  15.05240  -0.11752627E-03   0.14981763E-03   0.11620435E+01
  15.10080  -0.12806826E-03   0.15164003E-03   0.98535453E+00
  15.14920  -0.13648588E-03   0.15170758E-03   0.76821475E+00
  15.19760  -0.14299697E-03   0.15023575E-03   0.51921696E+00
  15.24600  -0.14783149E-03   0.14763254E-03   0.24830851E+00
  15.29440  -0.15115656E-03   0.14443490E-03  -0.33704552E-01
  15.34280  -0.15293822E-03   0.14106359E-03  -0.31567833E+00
  15.39120  -0.15313982E-03   0.13778748E-03  -0.58661693E+00
  15.43960  -0.15172495E-03   0.13474079E-03  -0.83603161E+00
  15.48800  -0.13919165E-03   0.16224625E-03  -0.10515763E+01
  15.53640  -0.13427016E-03   0.15438122E-03  -0.12293294E+01
  15.58480  -0.12746833E-03   0.14804219E-03  -0.13599847E+01
  15.63320  -0.11846101E-03   0.14276684E-03  -0.14378751E+01
  15.68160  -0.10706348E-03   0.13810268E-03  -0.14592101E+01
  15.73000  -0.93174475E-04   0.13367806E-03  -0.14223693E+01
  15.77840  -0.76984838E-04   0.12913921E-03  -0.13281086E+01
  15.82680  -0.58990664E-04   0.12428727E-03  -0.11796578E+01
  15.87520  -0.39963501E-04   0.11900653E-03  -0.98267570E+00
  15.92360  -0.20697445E-04   0.11324937E-03  -0.74504238E+00
  15.97200   0.12786306E-03   0.68537915E-04  -0.47463696E+00
  16.02040   0.13798653E-03   0.62570322E-04  -0.18676659E+00
