# TDLDA
# time in fs  dipole-momenta: x   y   z
   8.90560  -0.31628523E-07   0.34355095E-08   0.10615400E+00
   8.95400  -0.24514721E-07   0.35925478E-08  -0.21916674E-02
   9.00240  -0.16900691E-07   0.35888822E-08  -0.11287886E+00
   9.05080  -0.90609061E-08   0.34165726E-08  -0.22204649E+00
   9.09920  -0.12568791E-08   0.30768058E-08  -0.32580362E+00
   9.14760   0.62718563E-08   0.25801051E-08  -0.42036361E+00
   9.19600   0.13314411E-07   0.19459763E-08  -0.50217655E+00
   9.24440   0.19692778E-07   0.12020220E-08  -0.56805799E+00
   9.29280   0.25263980E-07   0.38256510E-09  -0.61531075E+00
   9.34120   0.29920469E-07  -0.47309751E-09  -0.64183333E+00
   9.38960   0.33589011E-07  -0.13227895E-08  -0.64621163E+00
   9.43800   0.36228470E-07  -0.21237587E-08  -0.62779128E+00
   9.48640   0.37826840E-07  -0.28350698E-08  -0.58672494E+00
   9.53480   0.38397748E-07  -0.34199575E-08  -0.52398956E+00
   9.58320   0.37976560E-07  -0.38479832E-08  -0.44137093E+00
   9.63160   0.36616500E-07  -0.40968797E-08  -0.34141599E+00
   9.68000   0.34385038E-07  -0.41539264E-08  -0.22735275E+00
   9.72840   0.31360217E-07  -0.40167392E-08  -0.10297903E+00
   9.77680   0.27627803E-07  -0.36933667E-08   0.27470097E-01
   9.82520   0.23279597E-07  -0.32017299E-08   0.15946919E+00
   9.87360   0.18412726E-07  -0.25684591E-08   0.28835823E+00
   9.92200   0.13129807E-07  -0.18272325E-08   0.40950203E+00
   9.97040   0.75397143E-08  -0.10167372E-08   0.51844867E+00
  10.01880   0.17587109E-08  -0.17840841E-09   0.61108332E+00
  10.06720  -0.40885169E-08   0.64591356E-09   0.68377758E+00
  10.11560  -0.98687661E-08   0.14162635E-08   0.73352636E+00
  10.16400  -0.15441145E-07   0.20966461E-08   0.75806888E+00
  10.21240  -0.20658975E-07   0.26568670E-08   0.75599284E+00
  10.26080  -0.25373139E-07   0.30739750E-08   0.72681528E+00
  10.30920  -0.29436806E-07   0.33332805E-08   0.67103144E+00
  10.35760  -0.32711152E-07   0.34288419E-08   0.59012548E+00
  10.40600  -0.35071576E-07   0.33634183E-08   0.48654006E+00
  10.45440  -0.36414247E-07   0.31479111E-08   0.36360570E+00
  10.50280  -0.36662228E-07   0.28003595E-08   0.22542854E+00
  10.55120  -0.35770279E-07   0.23444485E-08   0.76739646E-01
  10.59960  -0.33728699E-07   0.18077346E-08  -0.77278976E-01
  10.64800  -0.30565972E-07   0.12197716E-08  -0.23118053E+00
  10.69640  -0.26349979E-07   0.61033983E-09  -0.37944401E+00
  10.74480  -0.21187795E-07   0.78546159E-11  -0.51666330E+00
