#RTA protocol at iterat= 2200
#  j  err   errj     diffrho    sumj0     sumj1     diffE    sumvar2 
    141  1.017672E-06  2.114661E-06  2.054632E-10   1.39882      0.928398      9.651864E-06  1.986846E-06
    142  1.014903E-06  2.105554E-06  2.434613E-10   1.39882      0.932043      9.609930E-06  1.946077E-06
    143  1.012087E-06  2.096602E-06  2.210401E-10   1.39882      0.935606      9.522017E-06  1.909635E-06
    144  1.009222E-06  2.087829E-06  2.500080E-10   1.39882      0.939090      9.393126E-06  1.876924E-06
    145  1.006322E-06  2.079153E-06  2.052767E-10   1.39882      0.942495      9.226812E-06  1.847315E-06
    146  1.003394E-06  2.070612E-06  1.952198E-10   1.39882      0.945822      9.025579E-06  1.820181E-06
    147  1.000448E-06  2.062165E-06  2.328893E-10   1.39882      0.949073      8.796688E-06  1.794938E-06
    148  9.974980E-07  2.053781E-06  2.098828E-10   1.39882      0.952248      8.543606E-06  1.771066E-06
    149  9.945330E-07  2.045466E-06  1.827587E-10   1.39882      0.955348      8.270668E-06  1.748140E-06
    150  9.915579E-07  2.037295E-06  1.544187E-10   1.39882      0.958375      7.983718E-06  1.725834E-06
    151  9.885790E-07  2.029217E-06  1.594183E-10   1.39882      0.961331      7.686487E-06  1.703936E-06
    152  9.855941E-07  2.021241E-06  1.922107E-10   1.39882      0.964216      7.386074E-06  1.682339E-06
    153  9.826061E-07  2.013353E-06  1.881775E-10   1.39882      0.967031      7.082932E-06  1.661037E-06
    154  9.796204E-07  2.005548E-06  1.615055E-10   1.39882      0.969778      6.784095E-06  1.640107E-06
    155  9.766346E-07  1.997801E-06  2.057927E-10   1.39882      0.972459      6.491754E-06  1.619694E-06
    156  9.736539E-07  1.990125E-06  2.091278E-10   1.39882      0.975074      6.209015E-06  1.599985E-06
    157  9.706773E-07  1.982486E-06  2.163336E-10   1.39882      0.977623      5.939149E-06  1.581193E-06
    158  9.677028E-07  1.974904E-06  2.389440E-10   1.39882      0.980110      5.685760E-06  1.563528E-06
    159  9.647320E-07  1.967383E-06  2.197451E-10   1.39882      0.982534      5.448622E-06  1.547186E-06
    160  9.617661E-07  1.959907E-06  2.646585E-10   1.39882      0.984898      5.230397E-06  1.532324E-06
    161  9.588060E-07  1.952490E-06  2.176268E-10   1.39882      0.987203      5.032115E-06  1.519053E-06
    162  9.558638E-07  1.945148E-06  2.623741E-10   1.39882      0.989451      4.855279E-06  1.507428E-06
    163  9.529267E-07  1.937857E-06  3.017027E-10   1.39882      0.991643      4.699015E-06  1.497443E-06
    164  9.499987E-07  1.930602E-06  2.734524E-10   1.39882      0.993779      4.564895E-06  1.489033E-06
    165  9.470682E-07  1.923372E-06  2.299752E-10   1.39882      0.995861      4.450484E-06  1.482078E-06
    166  9.441377E-07  1.916184E-06  2.640581E-10   1.39882      0.997888      4.355941E-06  1.476410E-06
    167  9.412113E-07  1.909029E-06  3.104805E-10   1.39882      0.999864      4.281376E-06  1.471826E-06
    168  9.382988E-07  1.901917E-06  3.524434E-10   1.39882       1.00179      4.223978E-06  1.468097E-06
    169  9.353892E-07  1.894846E-06  3.845084E-10   1.39882       1.00366      4.184190E-06  1.464983E-06
    170  9.324811E-07  1.887799E-06  3.807239E-10   1.39882       1.00549      4.157624E-06  1.462243E-06
    171  9.295755E-07  1.880793E-06  3.978400E-10   1.39882       1.00727      4.145071E-06  1.459650E-06
    172  9.266704E-07  1.873837E-06  3.971392E-10   1.39882       1.00900      4.142294E-06  1.456997E-06
    173  9.237696E-07  1.866945E-06  3.709628E-10   1.39882       1.01068      4.148913E-06  1.454111E-06
    174  9.208751E-07  1.860099E-06  3.355352E-10   1.39882       1.01232      4.162151E-06  1.450850E-06
    175  9.179852E-07  1.853291E-06  3.048060E-10   1.39882       1.01392      4.179675E-06  1.447115E-06
    176  9.150969E-07  1.846518E-06  2.823972E-10   1.39882       1.01547      4.199428E-06  1.442842E-06
    177  9.122072E-07  1.839795E-06  2.398819E-10   1.39882       1.01698      4.219498E-06  1.438006E-06
    178  9.093162E-07  1.833143E-06  2.770992E-10   1.39882       1.01846      4.237005E-06  1.432616E-06
    179  9.064254E-07  1.826518E-06  3.055574E-10   1.39882       1.01989      4.250201E-06  1.426706E-06
    180  9.035336E-07  1.819924E-06  2.629745E-10   1.39882       1.02129      4.259520E-06  1.420333E-06
    181  9.006461E-07  1.813366E-06  2.379252E-10   1.39882       1.02265      4.259694E-06  1.413565E-06
    182  8.977579E-07  1.806846E-06  2.259473E-10   1.39882       1.02397      4.252222E-06  1.406480E-06
    183  8.948676E-07  1.800358E-06  2.235243E-10   1.39882       1.02526      4.234715E-06  1.399152E-06
    184  8.919764E-07  1.793900E-06  1.987894E-10   1.39882       1.02652      4.205518E-06  1.391652E-06
    185  8.890864E-07  1.787524E-06  1.591749E-10   1.39882       1.02774      4.165404E-06  1.384037E-06
    186  8.861960E-07  1.781185E-06  1.144391E-10   1.39882       1.02894      4.112403E-06  1.376352E-06
    187  8.833040E-07  1.774882E-06  1.096021E-10   1.39882       1.03010      4.047804E-06  1.368623E-06
    188  8.804119E-07  1.768627E-06  7.958256E-11   1.39882       1.03123      3.969271E-06  1.360862E-06
    189  8.775199E-07  1.762412E-06  9.669421E-11   1.39882       1.03233      3.880044E-06  1.353060E-06
    190  8.746290E-07  1.756238E-06  1.188560E-10   1.39882       1.03341      3.779309E-06  1.345197E-06
    191  8.717443E-07  1.750120E-06  9.497203E-11   1.39882       1.03445      3.665636E-06  1.337240E-06
    192  8.688661E-07  1.744072E-06  1.277538E-10   1.39882       1.03548      3.542484E-06  1.329147E-06
    193  8.660024E-07  1.738066E-06  1.668594E-10   1.39882       1.03648      3.410871E-06  1.320871E-06
    194  8.631506E-07  1.732100E-06  2.063771E-10   1.39882       1.03745      3.270004E-06  1.312365E-06
    195  8.603103E-07  1.726179E-06  2.369553E-10   1.39882       1.03840      3.122021E-06  1.303585E-06
    196  8.574849E-07  1.720298E-06  2.059091E-10   1.39882       1.03933      2.969756E-06  1.294494E-06
    197  8.546734E-07  1.714472E-06  1.827605E-10   1.39882       1.04024      2.811453E-06  1.285061E-06
    198  8.518737E-07  1.708695E-06  1.489324E-10   1.39882       1.04112      2.651625E-06  1.275268E-06
    199  8.490886E-07  1.702989E-06  1.618874E-10   1.39882       1.04199      2.489758E-06  1.265108E-06
    200  8.463176E-07  1.697334E-06  1.191767E-10   1.39882       1.04284      2.328130E-06  1.254587E-06
    201  8.435603E-07  1.691718E-06  1.043770E-10   1.39882       1.04367      2.167430E-06  1.243722E-06
    202  8.408207E-07  1.686143E-06  9.822632E-11   1.39882       1.04449      2.009508E-06  1.232541E-06
    203  8.380975E-07  1.680621E-06  1.430385E-10   1.39882       1.04529      1.854948E-06  1.221080E-06
    204  8.353948E-07  1.675155E-06  1.357678E-10   1.39882       1.04607      1.705681E-06  1.209382E-06
    205  8.327128E-07  1.669789E-06  1.551230E-10   1.39882       1.04685      1.563395E-06  1.197496E-06
    206  8.300505E-07  1.664483E-06  1.294538E-10   1.39882       1.04760      1.426048E-06  1.185470E-06
    207  8.274096E-07  1.659216E-06  1.224674E-10   1.39882       1.04835      1.298138E-06  1.173356E-06
    208  8.247937E-07  1.653985E-06  1.095986E-10   1.39882       1.04908      1.177051E-06  1.161199E-06
    209  8.221974E-07  1.648795E-06  8.451728E-11   1.39882       1.04980      1.065219E-06  1.149042E-06
    210  8.196220E-07  1.643664E-06  5.797673E-11   1.39882       1.05051      9.622588E-07  1.136924E-06
    211  8.170726E-07  1.638589E-06  3.324008E-11   1.39882       1.05120      8.680283E-07  1.124875E-06
    212  8.145455E-07  1.633576E-06  4.465495E-11   1.39882       1.05189      7.845930E-07  1.112918E-06
    213  8.120409E-07  1.628613E-06  4.092904E-11   1.39882       1.05257      7.091914E-07  1.101071E-06
    214  8.095596E-07  1.623693E-06  3.773959E-11   1.39882       1.05324      6.430271E-07  1.089345E-06
    215  8.070989E-07  1.618821E-06  5.914647E-11   1.39882       1.05390      5.870899E-07  1.077743E-06
    216  8.046579E-07  1.613988E-06  7.484413E-11   1.39882       1.05456      5.379340E-07  1.066266E-06
    217  8.022393E-07  1.609203E-06  5.773249E-11   1.39882       1.05520      4.973308E-07  1.054909E-06
    218  7.998423E-07  1.604468E-06  7.472511E-11   1.39882       1.05584      4.649294E-07  1.043667E-06
    219  7.974667E-07  1.599777E-06  8.007550E-11   1.39882       1.05648      4.379459E-07  1.032532E-06
    220  7.951117E-07  1.595129E-06  7.934364E-11   1.39882       1.05710      4.186932E-07  1.021497E-06
    221  7.927800E-07  1.590534E-06  6.428280E-11   1.39882       1.05773      4.032346E-07  1.010554E-06
    222  7.904692E-07  1.585976E-06  4.481215E-11   1.39882       1.05834      3.938968E-07  9.997004E-07



